scenario_id;test_type;technology;users_chatroom;users_server;chatrooms;senders_per_chat_ratio;payload_size_bytes;interval_ms;avg_message_time_ms;min_message_time_ms;max_message_time_ms;throughput;error_rate;cpu_avg;cpu_max;ram_avg;ram_max
66;scalability_all_to_all;gRPC;10;10;1;1;200;200;84;72;94;;0;;;;
67;scalability_all_to_all;SignalR;30;30;1;1;200;200;92;71;105;;0;;;;
68;scalability_all_to_all;WebSockets;30;30;1;1;200;200;60,4;39;89;;0;;;;
69;scalability_all_to_all;Polling;30;30;1;1;200;200;316,2;221;453;;0;;;;
70;scalability_all_to_all;SSE;30;30;1;1;200;200;136,8;67;189;;20;;;;
71;scalability_all_to_all;SocketIO;30;30;1;1;200;200;223;184;256;;0;;;;
72;scalability_all_to_all;gRPC;30;30;1;1;200;200;123,4;100;168;;0;;;;
73;scalability_all_to_all;SignalR;50;50;1;1;200;200;166,6;149;213;;0;;;;
74;scalability_all_to_all;WebSockets;50;50;1;1;200;200;145,2;130;161;;0;;;;
75;scalability_all_to_all;Polling;50;50;1;1;200;200;684,8;187;1109;;20;;;;
76;scalability_all_to_all;SSE;50;50;1;1;200;200;279;217;315;;20;;;;
77;scalability_all_to_all;SocketIO;50;50;1;1;200;200;391,6;312;489;;0;;;;
78;scalability_all_to_all;gRPC;50;50;1;1;200;200;250,3;229;275;;20;;;;
79;scalability_multi_room;SignalR;10;20;2;1;200;200;83,6;74;95;;0;;;;
80;scalability_multi_room;WebSockets;10;20;2;1;200;200;58;41;67;;0;;;;
81;scalability_multi_room;Polling;10;20;2;1;200;200;195,4;151;258;;0;;;;
82;scalability_multi_room;SSE;10;20;2;1;200;200;85,2;64;109;;0;;;;
83;scalability_multi_room;SocketIO;10;20;2;1;200;200;80,6;71;97;;0;;;;
84;scalability_multi_room;gRPC;10;20;2;1;200;200;82,6;76;87;;0;;;;
85;scalability_multi_room;SignalR;10;50;5;1;200;200;86,8;81;95;;0;;;;
86;scalability_multi_room;WebSockets;10;50;5;1;200;200;68,2;54;82;;0;;;;
87;scalability_multi_room;Polling;10;50;5;1;200;200;285,6;240;397;;0;;;;
88;scalability_multi_room;SSE;10;50;5;1;200;200;113,8;83;134;;0;;;;
89;scalability_multi_room;SocketIO;10;50;5;1;200;200;96,4;78;111;;0;;;;
90;scalability_multi_room;gRPC;10;50;5;1;200;200;97,6;86;104;;0;;;;
91;scalability_multi_room;SignalR;10;100;10;1;200;200;186,4;153;232;;0;;;;
92;scalability_multi_room;WebSockets;10;100;10;1;200;200;79,4;49;107;;0;;;;
93;scalability_multi_room;Polling;10;100;10;1;200;200;2083;1376;2984;;0;;;;
94;scalability_multi_room;SSE;10;100;10;1;200;200;209,2;143;259;;0;;;;
95;scalability_multi_room;SocketIO;10;100;10;1;200;200;689,6;544;788;;0;;;;
96;scalability_multi_room;gRPC;10;100;10;1;200;200;195,2;159;234;;0;;;;
97;throughput_chatroom;SignalR;10;10;1;1;200;200;;;;3,47;0;;;;
98;throughput_chatroom;WebSockets;10;10;1;1;200;200;;;;4,68;0;;;;
99;throughput_chatroom;Polling;10;10;1;1;200;200;;;;2,79;0;;;;
100;throughput_chatroom;SSE;10;10;1;1;200;200;;;;3,66;0;;;;
101;throughput_chatroom;SocketIO;10;10;1;1;200;200;;;;3,21;0;;;;
102;throughput_chatroom;gRPC;10;10;1;1;200;200;;;;2,84;0;;;;
103;throughput_chatroom;SignalR;30;30;1;1;200;200;;;;2,63;0;;;;
104;throughput_chatroom;WebSockets;30;30;1;1;200;200;;;;3,22;0;;;;
105;throughput_chatroom;Polling;30;30;1;1;200;200;;;;1,9;0;;;;
106;throughput_chatroom;SSE;30;30;1;1;200;200;;;;2,57;2,65;;;;
107;throughput_chatroom;SocketIO;30;30;1;1;200;200;;;;2,6;0;;;;
108;throughput_chatroom;gRPC;30;30;1;1;200;200;;;;2,09;0;;;;
109;throughput_chatroom;SignalR;50;50;1;1;200;200;;;;2,39;0;;;;
110;throughput_chatroom;WebSockets;50;50;1;1;200;200;;;;2,71;0;;;;
111;throughput_chatroom;Polling;50;50;1;1;200;200;;;;1,05;0;;;;
112;throughput_chatroom;SSE;50;50;1;1;200;200;;;;2,08;5,28;;;;
113;throughput_chatroom;SocketIO;50;50;1;1;200;200;;;;1,57;0;;;;
114;throughput_chatroom;gRPC;50;50;1;1;200;200;;;;1,91;0;;;;
115;spike_chatroom;SignalR;10;10;1;1;200;200;99;;;2,97;0;63,9;76,8;61,2;69,5
116;spike_chatroom;WebSockets;10;10;1;1;200;200;64;;;3,72;0;47,8;73,5;57,6;64,3
117;spike_chatroom;Polling;10;10;1;1;200;200;195;;;2,42;0;65,9;75,9;65,7;73,2
118;spike_chatroom;SSE;10;10;1;1;200;200;114;;;2,53;0;43,5;62,8;59,2;65,4
119;spike_chatroom;SocketIO;10;10;1;1;200;200;112;;;2,69;0;67,5;75,3;64;74,3
120;spike_chatroom;gRPC;10;10;1;1;200;200;123;;;2,49;0;45,7;52,6;64,8;70,9
121;spike_chatroom;SignalR;30;30;1;1;200;200;161;;;2,26;0;69;81,1;84,8;94,4
122;spike_chatroom;WebSockets;30;30;1;1;200;200;125;;;2,59;0;53,4;80,6;80,5;88,4
123;spike_chatroom;Polling;30;30;1;1;200;200;370;;;1,46;0;78,8;85,7;85,7;97,7
124;spike_chatroom;SSE;30;30;1;1;200;200;185;;;1,92;14,06;55,1;62,6;82,2;86,9
125;spike_chatroom;SocketIO;30;30;1;1;200;200;298;;;2,03;0;72,2;84,9;85,5;90,2
126;spike_chatroom;gRPC;30;30;1;1;200;200;181;;;1,53;0;57,8;65,6;81,4;84,5
127;spike_chatroom;SignalR;50;50;1;1;200;200;212;;;1,55;0;75,1;87,3;86,7;94,8
128;spike_chatroom;WebSockets;50;50;1;1;200;200;157;;;1,93;0;59,1;81,2;84,4;95,7
129;spike_chatroom;Polling;50;50;1;1;200;200;612;;;0,97;16,45;83,7;85,6;87,8;96,4
130;spike_chatroom;SSE;50;50;1;1;200;200;452;;;1,25;32,53;65,7;69,9;85,6;95,8
131;spike_chatroom;SocketIO;50;50;1;1;200;200;397;;;1,41;0;76,7;91,7;87,3;95,2
132;spike_chatroom;gRPC;50;50;1;1;200;200;378;;;1,12;5,94;66,7;74,5;84,9;86,9
133;endurance_chatroom;SignalR;10;10;1;1;200;200;354;;;1,24;0;69,8;77,2;70,8;85,5
134;endurance_chatroom;WebSockets;10;10;1;1;200;200;246;;;1,57;0;62,6;77,8;67,3;79,9
135;endurance_chatroom;Polling;10;10;1;1;200;200;414;;;1,21;0;70,4;77,7;86,7;96,2
